TMRM,substance
274.1,-Ctrl
537.1,-Ctrl
274.3,-Ctrl
307.9,-Ctrl
305,-Ctrl
506.7,-Ctrl
297.6,-Ctrl
330.1,-Ctrl
278.4,-Ctrl
555.3,-Ctrl
279.9,-Ctrl
312.5,-Ctrl
670141,N_0.1% 
1111131.5,N_0.1% 
1309533.9,N_0.1% 
696783.9,N_0.1% 
1149941.1,N_0.1% 
1349591.8,N_0.1% 
673969.6,N_0.1% 
1116919.6,N_0.1% 
1319848.5,N_0.1% 
1178169.1,N_1% 
953430.7,N_1% 
894035.8,N_1% 
1205109.6,N_1% 
976649.4,N_1% 
909706.8,N_1% 
1185505,N_1% 
958891.6,N_1% 
900430.2,N_1% 
1078772.1,N_10% 
910708.3,N_10% 
868416.7,N_10% 
1107500.6,N_10% 
938150.9,N_10% 
887056.7,N_10% 
1086045.6,N_10% 
915582.5,N_10% 
872675.5,N_10% 
630456.6,U_1%
693625.9,U_1%
712047.1,U_1%
651567.8,U_1%
720367.2,U_1%
735462.9,U_1%
632841.6,U_1%
696335.6,U_1%
716713.9,U_1%
720644.8,U_10%
704057,U_10%
762241.6,U_10%
749151.8,U_10%
728198.3,U_10%
789041.7,U_10%
723897.6,U_10%
707868.4,U_10%
765984.7,U_10%
1294214.5,Ctrl_PBS
699113.5,Ctrl_PBS
698198.8,Ctrl_PBS
1334995.6,Ctrl_PBS
723333.2,Ctrl_PBS
720658.7,Ctrl_PBS
1301432.3,Ctrl_PBS
704134.7,Ctrl_PBS
702776.2,Ctrl_PBS
695460.3,Ctrl_DMEM
685240.4,Ctrl_DMEM
1129195.8,Ctrl_DMEM
729994.1,Ctrl_DMEM
715995.2,Ctrl_DMEM
1178535.9,Ctrl_DMEM
699039.1,Ctrl_DMEM
688391.7,Ctrl_DMEM
1135885.9,Ctrl_DMEM
